date,noise_complaints,other_complaints,total
2012-05-30,428,5604,6032
2012-05-31,567,5217,5784
2012-06-01,531,4688,5219
2012-06-02,952,2234,3186
2012-06-03,1014,1722,2736
2012-06-04,463,4993,5456
2012-06-05,497,4871,5368
2012-06-06,642,4671,5313
2012-06-07,666,4330,4996
2012-06-08,737,4258,4995
2012-06-09,1246,2144,3390
2012-06-10,1126,1670,2796
2012-06-11,592,5060,5652
2012-06-12,413,4583,4996
2012-06-13,487,5458,5945
2012-06-14,645,4841,5486
2012-06-15,755,4419,5174
2012-06-16,1489,1921,3410
2012-06-17,1469,1704,3173
2012-06-18,666,5376,6042
2012-06-19,561,5265,5826
2012-06-20,457,5447,5904
2012-06-21,475,6377,6852
2012-06-22,393,5581,5974
2012-06-23,1052,2918,3970
2012-06-24,1038,2164,3202
2012-06-25,392,5552,5944
2012-06-26,489,5132,5621
2012-06-27,401,5072,5473
2012-06-28,663,5208,5871
2012-06-29,516,5138,5654
2012-06-30,957,3337,4294
2012-07-01,883,2738,3621
2012-07-02,431,6089,6520
2012-07-03,541,5317,5858
2012-07-04,926,2239,3165
2012-07-05,516,5763,6279
2012-07-06,437,5213,5650
2012-07-07,868,3191,4059
2012-07-08,758,2684,3442
2012-07-09,431,5723,6154
2012-07-10,393,5511,5904
2012-07-11,500,5282,5782
2012-07-12,464,5077,5541
2012-07-13,542,4600,5142
