date,avg_temp,daylight_hours,bad_weather,hours_overcast,gloomy_today,gloomy_past_two_days,gloomy_past_three_days
2010-03-02,42,11,1,9,0,0,0
2010-03-03,38,11,1,24,1,0,0
2010-03-04,41,11,,19,1,1,0
2010-03-05,42,11,1,15,1,1,1
2010-03-06,43,12,,0,0,0,0
2010-03-07,47,12,,0,0,0,0
2010-03-08,51,12,,0,0,0,0
2010-03-09,52,12,,0,0,0,0
2010-03-10,50,12,,8,0,0,0
2010-03-11,48,12,,20,1,0,0
2010-03-12,41,12,1,24,1,1,0
2010-03-13,42,12,1,24,1,1,1
2010-03-14,46,12,1,24,1,1,1
2010-03-15,44,12,1,24,1,1,1
2010-03-16,52,12,,7,0,0,0
2010-03-17,54,12,,0,0,0,0
2010-03-18,60,12,,0,0,0,0
2010-03-19,60,12,,0,0,0,0
2010-03-20,64,12,,0,0,0,0
2010-03-21,58,12,,4,0,0,0
2010-03-22,54,12,1,18,1,0,0
2010-03-23,49,12,1,23,1,1,0
2010-03-24,52,12,,3,0,0,0
2010-03-25,55,12,1,6,0,0,0
2010-03-26,43,12,1,9,0,0,0
2010-03-27,36,12,,0,0,0,0
2010-03-28,42,12,1,19,1,0,0
2010-03-29,50,13,1,22,1,1,0
2010-03-30,46,13,1,24,1,1,1
2010-03-31,51,13,1,19,1,1,1
2010-04-01,59,13,,6,0,0,0
2010-04-02,58,13,,0,0,0,0
2010-04-03,57,13,1,2,0,0,0
2010-04-04,62,13,1,2,0,0,0
2010-04-05,66,13,,0,0,0,0
2010-04-06,68,13,,3,0,0,0
2010-04-07,74,13,1,0,0,0,0
2010-04-08,72,13,,0,0,0,0
2010-04-09,56,13,1,23,1,0,0
2010-04-10,52,13,,7,0,0,0
2010-04-11,64,13,,8,0,0,0
2010-04-12,60,13,,0,0,0,0
2010-04-13,52,13,,10,1,0,0
2010-04-14,56,13,,0,0,0,0
2010-04-15,62,13,,6,0,0,0
2010-04-16,52,13,1,20,1,0,0
2010-04-17,50,13,1,23,1,1,0
2010-04-18,50,13,,9,0,0,0
2010-04-19,54,13,,3,0,0,0
2010-04-20,58,14,,0,0,0,0
2010-04-21,61,14,1,4,0,0,0
2010-04-22,62,14,1,4,0,0,0
2010-04-23,56,14,,0,0,0,0
2010-04-24,57,14,,4,0,0,0
2010-04-25,49,14,1,24,1,0,0
2010-04-26,50,14,1,24,1,1,0
2010-04-27,50,14,1,12,1,1,1
2010-04-28,48,14,,7,0,0,0
2010-04-29,57,14,,0,0,0,0
2010-04-30,67,14,,1,0,0,0
2010-05-01,74,14,,0,0,0,0
2010-05-02,77,14,,1,0,0,0
2010-05-03,74,14,1,12,1,0,0
2010-05-04,72,14,,2,0,0,0
2010-05-05,69,14,,0,0,0,0
2010-05-06,68,14,,0,0,0,0
2010-05-07,62,14,,0,0,0,0
2010-05-08,62,14,1,3,0,0,0
2010-05-09,48,14,,10,1,0,0
2010-05-10,51,14,,0,0,0,0
2010-05-11,50,14,1,6,0,0,0
2010-05-12,46,14,1,24,1,0,0
2010-05-13,55,14,,3,0,0,0
2010-05-14,68,14,1,9,0,0,0
2010-05-15,66,14,,0,0,0,0
2010-05-16,63,14,,1,0,0,0
2010-05-17,64,15,,1,0,0,0
2010-05-18,56,15,1,24,1,0,0
2010-05-19,57,15,1,24,1,1,0
2010-05-20,67,15,,5,0,0,0
2010-05-21,73,15,,0,0,0,0
2010-05-22,66,15,,7,0,0,0
2010-05-23,64,15,1,17,1,0,0
2010-05-24,66,15,1,17,1,1,0
2010-05-25,72,15,1,0,0,0,0
2010-05-26,78,15,,0,0,0,0
2010-05-27,69,15,1,14,1,0,0
2010-05-28,63,15,,10,1,1,0
2010-05-29,69,15,,8,0,0,0
2010-05-30,76,15,,0,0,0,0
2010-05-31,78,15,1,0,0,0,0
2010-06-01,76,15,1,5,0,0,0
2010-06-02,77,15,,1,0,0,0
2010-06-03,77,15,1,1,0,0,0
2010-06-04,80,15,,1,0,0,0
2010-06-05,82,15,,2,0,0,0
2010-06-06,75,15,1,1,0,0,0
2010-06-07,66,15,,1,0,0,0
2010-06-08,66,15,,3,0,0,0
2010-06-09,62,15,1,14,1,0,0
2010-06-10,66,15,1,16,1,1,0
2010-06-11,64,15,,1,0,0,0
2010-06-12,70,15,1,5,0,0,0
2010-06-13,72,15,1,15,1,0,0
2010-06-14,72,15,1,15,1,1,0
2010-06-15,72,15,,0,0,0,0
2010-06-16,70,15,,12,1,0,0
2010-06-17,70,15,1,11,1,1,0
2010-06-18,73,15,,0,0,0,0
2010-06-19,72,15,,0,0,0,0
2010-06-20,80,15,1,3,0,0,0
2010-06-21,79,15,,0,0,0,0
2010-06-22,79,15,1,4,0,0,0
2010-06-23,80,15,1,0,0,0,0
2010-06-24,84,15,,2,0,0,0
2010-06-25,79,15,,0,0,0,0
2010-06-26,80,15,,4,0,0,0
2010-06-27,81,15,1,0,0,0,0
2010-06-28,84,15,1,2,0,0,0
2010-06-29,80,15,,5,0,0,0
2010-06-30,70,15,,0,0,0,0
2010-07-01,70,15,,3,0,0,0
2010-07-02,72,15,,1,0,0,0
2010-07-03,77,15,,0,0,0,0
2010-07-04,84,15,,0,0,0,0
2010-07-05,88,15,,0,0,0,0
2010-07-06,92,15,,2,0,0,0
